姓名,出生年,性別,粉絲,出道年,出道月,國籍
吳宗憲,1962,1,2.12E+06,1987,3,1
郭台銘,1950,1,4.53E+05,1974,2,1
周杰倫,1979,1,5.96E+06,2000,1,1
蔡依林,1980,2,1.79E+06,1999,3,1
周子瑜,1999,2,2.15E+05,2015,10,1
Dwayne Johnson,1972,1,1.80E+08,2002,1,2
Willard Smith Jr,1968,1,4.59E+07,1996,1,2
Taylor Swift,1989,2,1.34E+08,2003,1,2
    Emma Watson,1990,2,5.72E+07,2006,6,2
Anne Hathaway,1982,2,1.77E+07,1999,1,2
蔡阿嘎,1984,1,2.44E+06,2006,6,1
HowFun,1989,1,1.27E+06,2013,6,1
林書豪,1988,1,6.98E+05,2012,2,1
唐鳳,1981,1,3.83E+05,2016,10,1
Louis Tomlinson,1991,1,3.04E+06,2010,7,2
Kurt Hugo Schneider,1988,1,1.29E+07,2007,10,2
Stephen Curry,1988,1,8.44E+06,2009,6,2
Thomas Cruise,1962,1,4.71E+06,1981,7,2
Scarlett Johansson,1984,2,2.80E+06,1994,7,2
Maria Sharapova,1987,2,4.04E+06,2001,4,2
千千,1991,2,1.49E+06,2016,7,1
阿滴,1989,1,2.61E+06,2015,1,1
Joeman,1988,1,1.86E+06,2010,10,1
林依晨,1982,2,5.20E+05,2002,1,1
楊丞琳,1984,2,4.86E+05,2000,11,1
滴妹,1992,2,1.38E+06,2016,3,1
莫彩曦Hailey,1997,2,8.38E+06,2010,1,2
老高,1981,1,3.02E+06,2014,11,2
鄧紫棋,1991,2,6.48E+06,2008,7,2
Avril Lavigne,1984,2,8.09E+06,2000,11,2
Britney Spears,1981,2,2.45E+07,1992,12,2
Elon Musk,1971,1,3.62E+07,1996,1,2
Eldrick Woods,1975,1,2.27E+06,1996,8,2
Conan O'Brien,1963,1,2.86E+07,1988,1,2
Celine Dion,1968,2,2.28E+07,1981,6,2
林志炫,1966,1,4.96E+06,1991,10,1
潘瑋柏,1980,1,1.66E+06,2002,12,1
張惠妹,1972,2,1.09E+06,1996,12,1
劉以豪,1986,1,1.30E+06,2009,11,1
徐若瑄,1975,2,2.02E+06,1990,7,1